headline	summary
«Удобно за чужой счёт заниматься благотворительностью»: Рудковская резко уколола Тутберидзе за желание помочь Парсеговым	Яна Рудковская раскритиковала инициативу штаба Этери Тутберидзе выделить часть прибыли от проведения платной открытой тренировки в Москве на покрытие долга Натальи Парсеговой перед «Ангелами Плющенко». По её словам, это похоже на стремление пропиариться и заняться благотворительностью за счёт фанатов. Между тем в сети продолжаются обмены репликами между мамой 12-летней фигуристки и академией по следам судебного разбирательства, завершившегося победой стороны двукратного олимпийского чемпиона.
Ссорились из-за участка земли: скончалась угандийская легкоатлетка Чептеги, которую поджёг бывший молодой человек	Участница марафонского забега на Олимпиаде в Париже Ребекка Чептеги скончалась в больнице после того, как бывший сожитель облил её бензином и поджёг. С воскресенья врачи боролись за жизнь 33-летней легкоатлетки, введённой в состоянии искусственной комы, но спасти её не смогли. В Олимпийском комитете Уганды, Национальной легкоатлетической федерации и МОК выразили соболезнования родным и близким погибшей.
Дебют Мусаева, ошибка Данга и гол Кузяева: Россия разгромила Вьетнам на международном турнире в Ханое	Сборная России по футболу разгромила национальную команду Вьетнама на международном турнире в Ханое. Главным героем матча стал дебютант Тамерлан Мусаев. В середине первого тайма он нашёл передачей Далера Кузяева, а незадолго до финального свистка из вратарской замкнул прострел Данила Пруцева. Сразу после перерыва со знаком минус отметился вратарь хозяев Данг Ван Лам, появившийся на свет в Москве. Воспитанник «Спартака» после паса назад Ван Тхань Ву махнул ногой мимо мяча и стал невольным соавтором автогола.
«Лучше не решать проблемы, а не иметь их вообще»: Медведев взял партию, но уступил Синнеру в четвертьфинале US Open	Даниил Медведев уступил Яннику Синнеру в четвертьфинале Открытого чемпионата США. Российский теннисист лишь во втором сете преуспел в ключевых розыгрышах и дважды взял подачу соперника, в трёх же других не смог зацепиться ни разу и совершил суммарно 57 невынужденных ошибок. При этом в стартовой и заключительной партиях лидер рейтинга ATP попадал первым мячом лишь в 48%, но при этом был почти безупречен при игре у сетки, взяв 28 розыгрышей из 33. Эта победа стала для итальянца шестой в семи последних очных встречах.
С опцией бесплатного возвращения в «Спартак»: Промес может продолжить карьеру в «Дубай Юнайтед» из ОАЭ	Ожидающий суда по делу об экстрадиции Квинси Промес в ближайшее время может возобновить футбольную карьеру. Команда второй лиги ОАЭ «Дубай Юнайтед» намекнула на возможное подписание контракта с голландцем, опубликовав видеозапись с медосмотра. При этом в российских СМИ сообщается, что в договоре с клубом предусмотрена опция бесплатного возвращения в «Спартак» зимой, если нападающий решит проблемы с законом и получит разрешение на выезд из страны.
«Нигде нет такой влажности, как здесь»: в каких условиях сборная России готовится к матчам с Вьетнамом и Таиландом	Сборная России по футболу прибыла в Ханой, где 5 и 7 сентября проведёт товарищеские матчи с командами Вьетнама и Таиланда. За несколько дней до отлёта от состава были отцеплены испытывающие проблемы со здоровьем Игорь Дивеев и Александр Солдатенков, зато шанс проявить себя получили Арсен Адамов и Антон Зиньковский, а также Алексей Батраков и Валентин Пальцев, ранее не получавший вызова от Валерия Карпина. При этом за сутки до встречи в расположение коллектива прибыли Далер Кузяев и Матвей Сафонов, не потерявший статус первого номера, несмотря на нехватку игрового времени в «Пари Сен-Жермен».
«Не помню, когда мы поженились»: Полунина — о дате свадьбы, звонке допинг-офицеров, разносе Шеховцовой и Гноме Гномыче	На приготовления к свадьбе ушло пять дней, два из которых заняли поиски платья. Об этом в интервью RT заявила бывшая фигуристка Елена Полунина, в девичестве — Ильиных. По её словам, в последние годы им с мужем не хватало времени на то, чтобы дойти до ЗАГСа и узаконить отношения. При этом само мероприятие вышло совершенно непубличным. Чемпионка сочинской Олимпиады в командных соревнованиях также вспомнила, как однажды испугалась после звонка допинг-офицеров, рассказала, кто разнёс в пух и прах их программу перед Играми в Сочи, а также встала на защиту сына Евгения Плющенко и Яны Рудковской.
«Остаёмся самыми сильными в мире»: россияне продолжают брать медали на Паралимпиаде в Париже, несмотря на провокации	Российские паралимпийцы продолжают успешно выступать на Играх в Париже. По прошествии шести дней национальная команда расположилась на седьмом месте с 40 медалями. В плавании особо отличились Роман Жданов и Дмитрий Черняев, выигравшие свои финалы с огромным преимуществом, а также Дарья Лукьяненко, установившая новый мировой рекорд. Ещё две знаковые победы одержали легкоатлеты — стайер Александр Костин и прыгун в длину Евгений Торсунов. При этом один из главных конкурентов последнего, украинец Александр Литвиненко, оскорбил соперника после окончания соревнований.
Усиление конкуренции: «Спартак» интересуется Мангашем и Ундером, «Локомотив» пытается вернуть Севикяна	«Спартак» намерен усилить левый фланг защиты футболистом «Витории Гимарайнш» Рикарду Мангашем, а также проявляет интерес к вингеру «Фенербахче» Дженгизу Ундеру, известному по выступлениям за «Рому», «Лестер» и «Марсель». В свою очередь, «Зенит» вновь отдал в аренду Роберта Ренана, а «Локомотив» расстался с Марио Митаем, который отыграет последний год по контракту за «Аль-Иттихад». При этом красно-зелёные намерены укрепить оборону экс-игроком «Рубина» Монтассаром Тальби и забрать у «Ференцвароша» своего воспитанника Эдгара Севикяна.
Битва Волкова с Павловичем и сражение Емельяненко с Харитоновым: самые яркие бои между россиянами в зарубежных лигах MMA	В ночь на 8 сентября в Сан-Диего пройдёт поединок за титул Bellator в лёгком весе между Усманом Нурмагомедовым и Александром Шаблием. Однако это будет далеко не первое чисто российское противостояние в зарубежных промоушенах. Ещё в 2006 году под эгидой PRIDE прошёл бой между Александром Емельяненко и Сергеем Харитоновым, дважды с соотечественниками сражался Александр Волков, а наиболее знаковым в этом плане стал 2019-й, когда двое россиян не только определили имя финалиста плей-офф PFL, но и впервые сразились друг с другом под эгидой UFC.
Пожарная тревога не смутила: Медведев отдал всего четыре гейма Боржешу и вышел в четвертьфинал US Open	Даниил Медведев разгромил Нуну Боржеша и в пятый раз в карьере пробился в четвертьфинал Открытого чемпионата США по теннису. Не до конца восстановившийся после тяжёлой победы в предыдущем круге португалец совершил 51 невынужденную и десять двойных ошибок и сумел взять лишь четыре гейма. Россиянин же не только оформил восемь брейков по ходу матча, который ненадолго прервался из-за пожарной тревоги, но и впервые на турнире преодолел отметку 60% попаданий с первой подачи.
Решение будет обжаловано: суд взыскал 1,8 млн рублей в пользу «Ангелов Плющенко» с семьи 12-летней фигуристки	Мать 12-летней фигуристки Арины Парсеговой обязали выплатить 1,83 млн рублей академии «Ангелы Плющенко» в счёт компенсации расходов на её подготовку. Сторона ответчика не согласилась с вердиктом суда и намерена обжаловать его в вышестоящей инстанции. В свою очередь, совладелица школы двукратного олимпийского чемпиона Яна Рудковская назвала решение торжеством справедливости, а маму бывшей воспитанницы обвинила в неблагодарности.
Возвращение Кузнецова, подписание Радулова в «Локомотив», перезапуск ЦСКА и «Ак Барса»: главные интриги сезона в КХЛ	Вернувшийся в КХЛ спустя десять лет Евгений Кузнецов постарается оправдать высокие ожидания и доказать, что не растерял мотивацию за последние годы пребывания за океаном, а «Металлург» попробует подтвердить, что триумф в минувшем розыгрыше Кубка Гагарина не был случайностью. В новый этап вступят ЦСКА и «Ак Барс», летом не только сменившие главных тренеров, но и расставшиеся с рядом лидеров, а усиливший состав Александром Радуловым «Локомотив» попытается сделать последний шаг к чемпионству.
Американские горки: Рублёв отыгрался со счёта 0:2 по сетам, но всё равно уступил Димитрову в четвёртом круге US Open	Андрей Рублёв потерпел поражение от Григора Димитрова в четвёртом круге Открытого чемпионата США по теннису. Россиянин отдал две стартовые партии, причём во второй сначала не сумел подать на сет, а затем позволил болгарину выиграть шесть очков подряд на тай-брейке. Однако после проявил характер и сумел восстановить равновесие, отдав сопернику всего четыре гейма. Тем не менее в решающем сете шестой ракетке мира не хватило везения: он отдал свою подачу при счёте 1:2, а в седьмом гейме не реализовал два брейк-пойнта.
Чёрный день Лантратова: «Локомотив» дома проиграл «Краснодару» и утратил лидерство в РПЛ	«Локомотив» впервые с 2017 года потерпел домашнее поражение от «Краснодара» и утратил лидерство в РПЛ. Исход противостояния в Черкизове предрешили две грубейшие ошибки Ильи Лантратова в первом тайме. Сначала голкипер выпустил мяч из рук после навеса и позволил Джону Кордобе отдать результативный пас на Виктора Са, а затем сбил колумбийца в своей штрафной ценой пенальти, который реализовал Эдуард Сперцян. После перерыва Кордоба довёл дело до разгрома, правда, после этого заработал две жёлтые карточки и был удалён с поля.
На фоне скандала в матче Калинской: Медведев шестой раз подряд вышел в 1/8 финала US Open, Шнайдер — впервые	Даниил Медведев вышел в четвёртый круг Открытого чемпионата США в шестой раз подряд. Российский теннисист убрал со своего пути Флавио Коболли, в трёх партиях семь раз взяв подачу соперника. А вот Диана Шнайдер впервые в карьере вышла во вторую неделю турнира Большого шлема, обыграв итальянку Сару Эррани. В свою очередь, Людмила Самсонова расквиталась с обидчицей Мирры Андреевой американкой Эшлин Крюгер. А вот Анастасия Павлюченкова, Анастасия Потапова и Анна Калинская завершили выступление в Нью-Йорке, причём последняя в матче с бразильянкой Беатрис Хаддад-Майей пострадала из-за ошибки главного судьи на корте.
История преодоления: россияне завоевали 19 медалей в первые три дня Паралимпиады в Париже	Россияне завоевали 19 медалей в стартовые соревновательные дни Паралимпиады в Париже, четыре из которых — золотые. Наибольшее количество наград они взяли в плавании. Первым на верхнюю ступень пьедестала почёта поднялся ранее выступавший за сборную Украины Андрей Калина. Вскоре его достижение повторила Валерия Шабалина, всего за полгода успевшая восстановиться после рождения ребёнка. Ещё две победы одержаны в лёгкой атлетике. Потерявший в детстве руку Александр Яремчук поднялся на вершину в беге на дистанции 1500 м благодаря финишному спурту, а Алексей Чуркин на инвалидной коляске обошёл конкурентов в метании клаба.
Без помощи Соболева: «Зенит» разгромил «Пари НН», «Спартак» вдесятером вырвал победу у «Рубина» в РПЛ	«Зенит» и «Спартак» одержали победы в седьмом туре РПЛ без помощи Александра Соболева. Он не попал в заявку петербуржцев на выездной матч с «Пари НН». В его отсутствие главным героем стал другой дебютант и конкурент россиянина, Лусиано Гонду, который оформил дубль и отдал предголевой пас. В свою очередь, москвичи дожали «Рубин» в домашних стенах, несмотря на удаление Романа Зобнина по истечении часа. А единственный мяч Эсекьель Барко забил с пенальти, назначенного за попадание снаряда в руку Илье Рожкову.
«Горе для всего хоккея»: в США в ДТП погиб нападающий «Коламбуса» Джонни Годро	Нападающий «Коламбуса» Джонни Годро и его брат Мэттью погибли в результате ДТП. По данным СМИ, передвигавшихся на велосипедах спортсменов насмерть сбила машина, водитель которой, предположительно, находился в состоянии алкогольного опьянения. Американец выступал в НХЛ на протяжении десяти лет и семь раз участвовал в матчах звёзд, а в сезоне-2021/22 набрал 115 очков, уступив в бомбардирской гонке лишь Коннору Макдэвиду. Помимо прочего, он является рекордсменом сборной США по очкам и передачам на чемпионатах мира, а в 2018 году помог команде  завоевать бронзовые медали первенства планеты.
Ален Делон мирового плавания: ушёл из жизни чемпион московской Олимпиады Робертас Жулпа	В Вильнюсе на 65-м году жизни скончался выдающийся советский пловец Робертас Жулпа. В 1980-м на московской Олимпиаде он стал чемпионом на дистанции 200 м брассом, а рекорд мира не смог переписать только потому, что конкуренты в финале не смогли навязать ему даже подобия борьбы. Впрочем, запомнился многим он не только этим, но и морем обаяния, в котором тонули все без исключения, а также весёлым нравом, не раз выручавшим его в сложную минуту. Жаль, что о здоровье спортсмен почти не заботился и до последних дней оставался большим ребёнком.
В тени фиаско Джоковича: Рублёв легко разобрался с Легечкой, Александрова чуть было не остановила Соболенко на US Open	Андрей Рублёв без особых проблем пробился в четвёртый круг Открытого чемпионата США по теннису. Россиянин продемонстрировал завидное хладнокровие и в трёх сетах сломил сопротивление Иржи Легечки, благодаря чему реваншировался за поражение на «Мастерсе» в Индиан-Уэллсе. В свою очередь, Екатерина Александрова взяла первый сет в дуэли с Ариной Соболенко, но всё же уступила второй ракетке планеты. А главной сенсацией дня стал вылет Новака Джоковича. Действующий триумфатор US Open проиграл Алексею Попырину и впервые с 2017 года остался без титула на турнире Большого шлема.
Новый успех под флагом России: Джонсон в реванше победил Тёрнера раздельным решением судей и принял вызов Харитонова	Кевин Джонсон на турнире в Череповце одержал вторую победу подряд над Шоном Тёрнером. В первой половине поединка ирландец владел преимуществом и смотрелся быстрее, но затем получивший российский паспорт ветеран перехватил инициативу и в результате взял верх решением большинства судей. А сразу по окончании противостояния провёл стердаун с известным бойцом ММА Сергеем Харитоновым. В главном событии Алексей Папин нокаутировал Феликса Валеру в пятом раунде и защитил пояс WBA Asia в первом тяжёлом весе.
Без права на ошибку: почему переход в «Зенит» — рискованный шаг для Соболева	Александр Соболев официально перебрался из «Спартака» в «Зенит». 27-летний нападающий добился желаемого и фактически последовал примеру Артёма Дзюбы. Но в отличие от предшественника фактурный бомбардир решил уйти из команды, в которой конкуренция в атакующей линии почти отсутствовала, а болельщики готовы были прощать многие выходки на поле. И если риск не оправдается, то куда вероятнее, что уроженец Барнаула повторит судьбу бывшего одноклубника — Зелимхана Бакаева.
Объявлен в розыск: СК возбудил дело в отношении экс-футболиста Алиева за призыв убивать людей в Курской области	Следственный комитет РФ возбудил уголовное дело в отношении бывшего футболиста сборной Украины Александра Алиева за призыв к ВСУ убивать мирных граждан в Курской области. Мужчину объявили в розыск, ему грозит до семи лет лишения свободы. При этом экс-полузащитник родился и вырос в Хабаровске, а его родственники до сих пор живут в Курске. Отец Алиева рассказал RT, что не общается с сыном, а пересекавшиеся с ним в российских клубах футболисты, тренеры и функционеры вспомнили о сложном характере и пагубных привычках Алиева.
«Ловила себя на кураже и лёгкости»: премьера шоу Загитовой «Хранители времени» вызвала широкий резонанс	Алина Загитова представила в Казани шоу «Хранители времени», в котором выступила в качестве не только фигуристки, но и продюсера. По её словам, в постановке были некоторые недочёты, почти незаметные, но в целом дебют удался. Татьяна Тарасова также позитивно оценила начинание олимпийской чемпионки Пхёнчхана. Между тем Яна Рудковская намекнула, что режиссёр проекта вдохновлялся шоу, которые она сделала с Евгением Плющенко.
«Как в итальянском ресторане»: Медведев в седьмой раз подряд вышел в третий круг US Open, Андреева вылетела	Даниил Медведев в седьмой раз подряд вышел в третий круг Открытого чемпионата США. Россиянин испытывал проблемы с подачей на протяжении всего матча с Фабианом Марожаном, но всё же завершил противостояние в трёх сетах. Роман Сафиуллин, напротив, ничего не смог противопоставить Маттео Арнальди. Зачехлила ракетку и Мирра Андреева, не сумевшая взять ни сета у  Эшлин Крюгер. А вот Анна Калинская, Диана Шнайдер, Анастасия Потапова, Людмила Самсонова и Анастасия Павлюченкова продолжают борьбу на заключительном мейджоре сезона.
«Калечат своих же коллег»: Разин увёл «Металлург» со льда после травмы Вовченко и призвал дисквалифицировать Абросимова	Андрей Разин отказался признать свою неправоту в связи с уводом подопечных с площадки в концовке матча «Мемориала Ромазана» с «Нефтехимиком». После того как судьи отказались удалять Романа Абросимова за силовой приём на Данииле Вовченко, главный тренер «Металлурга» пошёл на принцип, так как нападающий после контакта ударился головой о лёд и не смог самостоятельно подняться. Специалист не остыл даже на следующий день, призвав пожизненно дисквалифицировать соперника и пообещав не подавать руки коллеге Олегу Леонтьеву. В свою очередь, виновник эпизода подчеркнул, что в его действиях не было злого умысла.
«Послевоенное поколение было уникальным»: Древаль о триумфе в Мюнхене, драке с югославами и женитьбе на внучке Шолохова	После Великой Отечественной войны в народе очень сильно чувствовался дух победителей. Об этом в интервью RT заявил ватерполист Александр Древаль, которому в июле исполнилось 80 лет. По его словам, в те времена спорт оставался единственным занятием, которое могло вытянуть людей наверх из бедственного положения. Олимпийский чемпион Мюнхена также объяснил, почему соперники не могли забить через него, вспомнил, из-за чего началась знаменитая драка с югославами, а также рассказал, как познакомился со своей будущей женой — внучкой Михаила Шолохова.
Раненый зверь: Рублёв уступил два сета подряд, но взял верх над страдавшим от травмы Риндеркнешем на US Open	Андрей Рублёв с огромным трудом пробился в третий круг Открытого чемпионата США по теннису. Россиянин с ходу начал нервничать и уступил две первые партии Артуру Риндеркнешу, но впоследствии воспользовался проблемами француза с плечом и совершил впечатляющий камбэк. В свою очередь, Екатерине Александровой понадобилось три сета и семь матчболов, чтобы взять верх над 16-летней Ивой Йович и избежать судьбы Дарьи Касаткиной и Эрики Андреевой, потерпевших поражения в матчах с Питон Стирнс и Чжэн Циньвэнь соответственно.
Благодаря дублям Сулейманова и Окишора: «Локо» разгромил «Химки», «Динамо» забило пять мячей «Крыльям» в Кубке России	«Локомотив» и «Динамо» одержали крупные победы в третьем туре группового этапа Пути РПЛ Кубка России. Главными героями стали оформившие по дублю Тимур Сулейманов и Виктор Окишор. При этом 17-летний хавбек бело-голубых также записал на свой счёт результативную передачу. В свою очередь, «Краснодар» сломил сопротивление «Пари НН» благодаря точному удару Данилы Козлова и практически гарантировал себе выход в плей-офф, а «Ростов» в гостях нанёс третье поражение «Оренбургу».
Новая партнёрша Ангелопола, ожидания Валиевой и пикировка Загитовой и Губерниева: что обсуждают в мире фигурного катания	Александра Шинкаренко опубликовала видеоролик с брошенной в огонь футболкой с фамилией её бывшего партнёра Валерия Ангелопола, который недавно образовал дуэт с Дарьей Каревой. Камила Валиева рассказала, с какими чувствами ожидает начала обучения в вузе, а Алина Загитова и Дмитрий Губерниев вновь обменялись колкостями. Алина Горбачёва поделилась радостью от восстановления после травмы, а Елизавета Худайбердиева рассказала, как у фигуристок развивается расстройство пищевого поведения. Что обсуждают в мире фигурного катания — в материале RT.
Долгожданный успех Медведева, эпичная битва Хачанова и сложности Андреевой: как россияне провели второй день US Open	Даниил Медведев успешно стартовал на US Open после череды проигрышей в августе. Россиянин уступил один сет Душану Лайовичу из-за временного спада, но всё-таки одержал победу в четырёх партиях. Карен Хачанов, в свою очередь, уступил Даниелю Эвансу в самой продолжительной встрече в истории турнира. Теннисисты провели на корте 5 часов 35 минут. Мирра Андреева, скрестившая ракетки с Марией-Камилой Осорио-Серрано, пощекотала нервы поклонникам, не сумев подать на матч во втором сете и завершив его только на тай-брейке. Анастасия Потапова, напротив, преподнесла приятный сюрприз, впервые в карьере обыграв Лейлу Фернандес.
Провал фаворитов: «Зенит» проиграл «Акрону» по пенальти, «Спартак» уступил «Динамо» Мх в Кубке России	«Зенит» и «Спартак» синхронно потерпели первое поражение на групповом этапе Пути РПЛ Кубка России. Петербуржцы открыли счёт в гостевом матче с «Акроном», но не смогли удержать преимущество, а в серии пенальти партнёров подвёл Артур. В свою очередь, пропустившие в дебюте москвичи нанесли 25 ударов по воротам махачкалинского «Динамо», но так и не смогли застать врасплох Давида Волка, который совершил восемь сейвов. Помимо прочего, ЦСКА вырвал победу у «Ахмата» благодаря двум голам в концовке, а «Рубин» сломил сопротивление «Факела».
«Выпила из стакана, где уже были таблетки»: выступавшую за «Ангелов Плющенко» фигуристку Горобченко отстранили за допинг	Фигуристку Варвару Горобченко дисквалифицировали на пять лет за употребление допинга. Как сообщили в РУСАДА, в пробе 17-летней спортсменки обнаружили следы мельдония и сибутрамина. При этом мать девушки Светлана Божко считает, что запрещённые вещества действительно попали в организм её дочери, но из-за неосмотрительности, и заявила о непричастности представителей «Ангелов Плющенко» к произошедшему.
Не без нервов: Рублёв ругался и колотил ракеткой по корту, но уверенно вышел во второй круг US Open	Андрей Рублёв вышел во второй круг US Open, обыграв в трёх сетах Тьяго Уайлда. Россиянин в третьей партии получил предупреждение от судьи за нецензурную лексику, бил ракеткой по корту, однако довёл матч до победы. Успешно стартовали на последнем мейджоре сезона Дарья Касаткина, Эрика Андреева и Екатерина Александрова, а вот Вероника Кудерметова и Анна Блинкова уже зачехлили ракетки.
«Стимулирует серьёзное отношение к работе»: Морозов назвал шикарным контракт Кузнецова со СКА перед новым сезоном КХЛ	В Москве за неделю до старта регулярного чемпионата КХЛ прошла пресс-конференция с участием руководства организации. Во время общения с журналистами глава лиги Алексей Морозов заверил, что «Барыс» не покинет её состав из-за возможных санкций со стороны IIHF. Он также объяснил, почему не хочет поднимать потолок зарплат, и назвал шикарным четырёхлетний контракт Евгения Кузнецова со СКА. В свою очередь, вице-президент лиги Сергей Доброхвалов рассказал, каким критериям должны соответствовать клубы, желающие играть в КХЛ.
Лето без команды: Дзюба остаётся свободным агентом, Миранчук и Джикия ищут варианты в Европе	Георгий Джикия сообщил о желании продолжить карьеру в Турции и заявил, что делает для этого всё возможное. Антон Миранчук также рассчитывает попробовать свои силы в Европе. Артём Дзюба остаётся без клуба, несмотря на интерес со стороны «Химок» и «Крыльев Советов». Маринато Гильерме может вернуться в Бразилию, а Антон Шунин не исключил, что повесит перчатки на гвоздь. Как известные российские свободные агенты ищут себе новые команды — в материале RT.
Медальный пинг-понг: перевернувшемуся на финише гребцу Петрову вернули золото ЧМ, но снова отняли после серии протестов	Россияне завоевали четыре золотые медали на чемпионате мира по гребле на байдарках и каноэ в Самарканде. Половина из них пришлась на долю Захара Петрова, который мог взять ещё одну награду высшей пробы в одиночных соревнованиях на дистанции 500 м. На финише лодка с лидировавшим в заплыве спортсменом перевернулась, однако всё равно пересекла черту первой. Организаторы аннулировали результат атлета, но после протеста со стороны российской стороны пересмотрели своё решение. Однако впоследствии вердикт был повторно изменён.
Гол Са, спасения Агкацева и травма Лунёва: «Краснодар» в четвёртый раз подряд обыграл «Динамо» в РПЛ	«Краснодар» в Москве одержал победу над «Динамо» в матче шестого тура РПЛ. В первом тайме игра шла на встречных курсах, но южанам улыбнулась удача на 25-й минуте, когда после удара Виктора Са мяч от ноги Фабиана Бальбуэны срикошетил в сетку ворот. Впоследствии бело-голубые создали массу моментов, однако так и не сумели огорчить Станислава Агкацева, который совершил 11 сейвов. А его коллега Андрей Лунёв в концовке получил травму головы в столкновении с Джоном Кордобой и был заменён на Игоря Лещука.
Выход на замену и попадание в перекладину: Миранчук дебютировал за «Атланту» в MLS, но остался в тени Ройса	Алексей Миранчук дебютировал за «Атланта Юнайтед» в Главной лиге футбола (MLS). В матче с «Лос-Анджелес Гэлакси» российский полузащитник вышел на замену на 61-й минуте, а в самой концовке мог отметиться голом и ассистом. Но его дальний удар пришёлся в перекладину, а подачу со штрафного не сумел замкнуть партнёр. Ну а главным героем встречи стал новичок калифорнийцев Марко Ройс, который сначала ассистировал Рики Пучу, а затем забил сам.
